650 without_current 1
-1.43654 0.270145 -0.65606	-1.35928 0.0353611 -0.637278
-1.35928 0.0353611 -0.637278	-1.39258 -0.20808 -0.669959
-1.39258 -0.20808 -0.669959	-1.52518 -0.400576 -0.752625
-1.52518 -0.400576 -0.752625	-1.72162 -0.494997 -0.871079
-1.72162 -0.494997 -0.871079	-1.93117 -0.468226 -1.00148
-1.93117 -0.468226 -1.00148	-2.10033 -0.326816 -1.116
-2.10033 -0.326816 -1.116	-2.186 -0.105391 -1.1897
-2.186 -0.105391 -1.1897	-2.16586 0.141838 -1.20697
-2.16586 0.141838 -1.20697	-2.04363 0.35434 -1.16579
-2.04363 0.35434 -1.16579	-1.84787 0.480087 -1.07875
-1.84787 0.480087 -1.07875	-1.6247 0.488292 -0.970381
-1.6247 0.488292 -0.970381	-1.42639 0.376946 -0.871402
-1.42639 0.376946 -0.871402	-1.29844 0.173311 -0.811178
-1.29844 0.173311 -0.811178	-1.26862 -0.0727575 -0.810301
-1.26862 -0.0727575 -0.810301	-1.34037 -0.301012 -0.875122
-1.34037 -0.301012 -0.875122	-1.49225 -0.455568 -0.995707
-1.49225 -0.455568 -0.995707	-1.68352 -0.498586 -1.14783
-1.68352 -0.498586 -1.14783	-1.86432 -0.419532 -1.2986
-1.86432 -0.419532 -1.2986	-1.988 -0.237762 -1.41448
-1.988 -0.237762 -1.41448	-2.02241 0.00222039 -1.46964
-2.02241 0.00222039 -1.46964	-1.9576 0.241659 -1.45268
-1.9576 0.241659 -1.45268	-1.80793 0.421931 -1.36985
-1.80793 0.421931 -1.36985	-1.60816 0.4989 -1.244
-1.60816 0.4989 -1.244	-1.40474 0.45372 -1.10927
-1.40474 0.45372 -1.10927	-1.24424 0.297454 -1.0029
-1.24424 0.297454 -1.0029	-1.16201 0.0683611 -0.955945
-1.16201 0.0683611 -0.955945	-1.17373 -0.177469 -0.985431
-1.17373 -0.177469 -0.985431	-1.27189 -0.379849 -1.08971
-1.27189 -0.379849 -1.08971	-1.428 -0.489228 -1.24843
-1.428 -0.489228 -1.24843	-1.5999 -0.478828 -1.42719
-1.5999 -0.478828 -1.42719	-1.74228 -0.351193 -1.58578
-1.74228 -0.351193 -1.58578	-1.81779 -0.137574 -1.68805
-1.81779 -0.137574 -1.68805	-1.80598 0.109727 -1.71103
-1.80598 0.109727 -1.71103	-1.70802 0.330164 -1.65094
-1.70802 0.330164 -1.65094	-1.54599 0.469765 -1.52452
-1.54599 0.469765 -1.52452	-1.35712 0.494351 -1.36531
-1.35712 0.494351 -1.36531	-1.1844 0.397903 -1.21563
-1.1844 0.397903 -1.21563	-1.06604 0.204034 -1.11626
-1.06604 0.204034 -1.11626	-1.02616 -0.0397893 -1.09625
-1.02616 -0.0397893 -1.09625	-1.06929 -0.273871 -1.16547
-1.06929 -0.273871 -1.16547	-1.17962 -0.440899 -1.31181
-1.17962 -0.440899 -1.31181	-1.32529 -0.49998 -1.50378
-1.32529 -0.49998 -1.50378	-1.46651 -0.436649 -1.69796
-1.46651 -0.436649 -1.69796	-1.56544 -0.26641 -1.84957
-1.56544 -0.26641 -1.84957	-1.59533 -0.0309451 -1.92357
-1.59533 -0.0309451 -1.92357	-1.54685 0.212096 -1.90353
-1.54685 0.212096 -1.90353	-1.42988 0.403209 -1.79599
-1.42988 0.403209 -1.79599	-1.2707 0.495602 -1.62923
-1.2707 0.495602 -1.62923	-1.10518 0.466655 -1.44661
-1.10518 0.466655 -1.44661	-0.969789 0.323454 -1.29605
-0.969789 0.323454 -1.29605	-0.89271 0.10106 -1.21825
-0.89271 0.10106 -1.21825	-0.887184 -0.146077 -1.23646
-0.887184 -0.146077 -1.23646	-0.948681 -0.357449 -1.35047
-0.948681 -0.357449 -1.35047	-1.05648 -0.481305 -1.53636
-1.05648 -0.481305 -1.53636	-1.17916 -0.487321 -1.75204
-1.17916 -0.487321 -1.75204	-1.28255 -0.374024 -1.94742
-1.28255 -0.374024 -1.94742	-1.33814 -0.169153 -2.07674
-1.33814 -0.169153 -2.07674	-1.32983 0.0771332 -2.1099
-1.32983 0.0771332 -2.1099	-1.25753 0.304534 -2.04013
-1.25753 0.304534 -2.04013	-1.13664 0.457374 -1.88597
-1.13664 0.457374 -1.88597	-0.99387 0.498233 -1.68701
-0.99387 0.498233 -1.68701	-0.860333 0.417108 -1.49431
-0.860333 0.417108 -1.49431	-0.763856 0.233859 -1.35797
-0.763856 0.233859 -1.35797	-0.722302 -0.00664591 -1.31469
-0.722302 -0.00664591 -1.31469	-0.739559 -0.245524 -1.37859
