1000 without_current 1
-0.339155 -0.940731 -0.82	-0.243544 -0.96989 -0.81
-0.243544 -0.96989 -0.81	-0.1455 -0.989358 -0.8
-0.1455 -0.989358 -0.8	-0.0460021 -0.998941 -0.79
-0.0460021 -0.998941 -0.79	0.0539554 -0.998543 -0.78
0.0539554 -0.998543 -0.78	0.153374 -0.988168 -0.77
0.153374 -0.988168 -0.77	0.25126 -0.96792 -0.76
0.25126 -0.96792 -0.76	0.346635 -0.938 -0.75
0.346635 -0.938 -0.75	0.438547 -0.898708 -0.74
0.438547 -0.898708 -0.74	0.526078 -0.850437 -0.73
0.526078 -0.850437 -0.73	0.608351 -0.793668 -0.72
0.608351 -0.793668 -0.72	0.684547 -0.728969 -0.71
0.684547 -0.728969 -0.71	0.753902 -0.656987 -0.7
0.753902 -0.656987 -0.7	0.815725 -0.57844 -0.69
0.815725 -0.57844 -0.69	0.869397 -0.494113 -0.68
0.869397 -0.494113 -0.68	0.914383 -0.40485 -0.67
